"Timestamp,close,high,low,open,volume"	Open	High	Low	Close	Volume
"1433431321,43.2700,43.2700,43.2500,43.2500,1800"	133.47	135.09	133.25	135.02	33226223
"1433431382,43.2900,43.2900,43.2800,43.2800,600"	133.08	133.82	132.75	133.29	23035421
"1433431492,43.2632,43.2850,43.2600,43.2850,7000"	132.46	132.94	132.05	132.12	20065458
"1433431559,43.2600,43.2800,43.2600,43.2700,19700"	131.65	132.44	131.12	132.42	28349859
"1433431562,43.2400,43.2800,43.2400,43.2649,8500"	131.35	132.22	131.22	132.04	23004072
"1433431630,43.2400,43.2550,43.2300,43.2500,8200"	130.54	132.09	130.45	131.53	38183841
"1433431737,43.2400,43.2600,43.2300,43.2500,14200"	129.13	130.5	128.9	130.29	26845924
"1433431798,43.2075,43.2400,43.2000,43.2400,12400"	128.31	129.19	128.16	129.08	24507301
"1433431859,43.2100,43.2100,43.2000,43.2100,11500"	127.98	129.39	127.78	128.53	33710411
"1433431860,43.2150,43.2200,43.2000,43.2050,18200"	127.03	130.49	127.01	128.75	111985040
"1433431977,43.1800,43.2200,43.1800,43.2100,16100"	121.15	121.39	120.62	121.35	49200993
"1433432039,43.1900,43.1900,43.1800,43.1800,6300"	120.93	121.63	120.66	121.63	30377503
"1433432099,43.1800,43.1900,43.1700,43.1800,3100"	122.14	122.35	121.6	121.95	20562944
"1433432108,43.1700,43.1900,43.1700,43.1790,6100"	121.67	122.44	121.6	121.94	26337576
"1433432218,43.2000,43.2100,43.1600,43.1700,20000"	120.42	122.1	120.28	121.88	32586673
"1433432277,43.1800,43.2100,43.1800,43.2000,3100"	119.55	120.1	119.5	119.97	23211038
"1433432335,43.2099,43.2100,43.1900,43.1900,10400"	120	120.81	119.77	120.08	22050218
"1433432358,43.2000,43.2100,43.2000,43.2000,9200"	120.45	120.45	119.73	120	32597892
"1433432451,43.2200,43.2300,43.2050,43.2100,15500"	119.4	120.09	119.37	119.78	25597291
"1433432461,43.2100,43.2400,43.2100,43.2200,22100"	120	120.5	119.71	119.99	23712961
"1433432575,43.2100,43.2200,43.2000,43.2200,62000"	118.34	120.24	118.22	120	34439843
"1433432612,43.2062,43.2200,43.2062,43.2200,26600"	119.11	119.62	118.81	119.04	26111948
